profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
corporateprod,sa-east-1,ebs,snap-093768be01532f47b,vol-026d369c3fa12a1c1,snap-093768be01532f47b,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-16T06:46:40.923000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-09e748c170fa113fd,,root-extend
corporateprod,sa-east-1,ebs,snap-0a0a5546a5dfedd41,vol-026d369c3fa12a1c1,snap-0a0a5546a5dfedd41,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-15T06:42:47.984000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-090afbd8de6ce381a,,root-extend
corporateprod,sa-east-1,ebs,snap-02b9e136b40accca7,vol-026d369c3fa12a1c1,snap-02b9e136b40accca7,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-14T06:46:30.392000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-0d7206be2edf4b03f,,root-extend
corporateprod,sa-east-1,ebs,snap-0eb5d38acf4c16ddb,vol-026d369c3fa12a1c1,snap-0eb5d38acf4c16ddb,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-13T06:42:20.331000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-063f81efc6675d2b8,,root-extend
corporateprod,sa-east-1,ebs,snap-07be6688a56fe4103,vol-026d369c3fa12a1c1,snap-07be6688a56fe4103,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-12T06:46:19.185000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-02d95b7c82723b10d,,root-extend
corporateprod,sa-east-1,ebs,snap-0ae45b3954aa5b068,vol-026d369c3fa12a1c1,snap-0ae45b3954aa5b068,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-11T06:49:12.231000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-06dda7232fc9d720b,,root-extend
corporateprod,sa-east-1,ebs,snap-00a6617a8acda0443,vol-026d369c3fa12a1c1,snap-00a6617a8acda0443,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-10T06:45:34.138000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-04b5005567210a1a3,,root-extend
corporateprod,sa-east-1,ebs,snap-0279aebb9fa0daab7,vol-026d369c3fa12a1c1,snap-0279aebb9fa0daab7,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-09T06:46:04.391000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-07d27dec914f1dd25,,root-extend
corporateprod,sa-east-1,ebs,snap-04a7db77857345b09,vol-026d369c3fa12a1c1,snap-04a7db77857345b09,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-08T06:42:43.900000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-0cbf50d6f5016f77b,,root-extend
corporateprod,sa-east-1,ebs,snap-0a00be2b9e2f8b545,vol-026d369c3fa12a1c1,snap-0a00be2b9e2f8b545,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-07T06:47:11.929000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-05e29d7d3550e6446,,root-extend
corporateprod,sa-east-1,ebs,snap-0b4b475de4ea717d6,vol-026d369c3fa12a1c1,snap-0b4b475de4ea717d6,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-06T06:44:02.969000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-0f739d82b2a0ccd54,,root-extend
corporateprod,sa-east-1,ebs,snap-0f028043b1083b842,vol-026d369c3fa12a1c1,snap-0f028043b1083b842,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-05T06:48:57.845000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-05d2c6f4698282d54,,root-extend
corporateprod,sa-east-1,ebs,snap-08fb152287d32d52f,vol-026d369c3fa12a1c1,snap-08fb152287d32d52f,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-04T06:42:58.394000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-043b1d79419e5936d,,root-extend
corporateprod,sa-east-1,ebs,snap-099b96e22d8e072fe,vol-026d369c3fa12a1c1,snap-099b96e22d8e072fe,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-03T06:46:30.188000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-0e54f6666d915c1ee,,root-extend
corporateprod,sa-east-1,ebs,snap-073cb959902b10915,vol-026d369c3fa12a1c1,snap-073cb959902b10915,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-02T06:46:46.009000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-0f6c4ac50f790dea7,,root-extend
corporateprod,sa-east-1,ebs,snap-09887d544f564c374,vol-026d369c3fa12a1c1,snap-09887d544f564c374,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-12-01T06:45:30.021000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-050c2beff1ff367d3,,root-extend
corporateprod,sa-east-1,ebs,snap-0586b808e4f4769c5,vol-026d369c3fa12a1c1,snap-0586b808e4f4769c5,completed,,57,True,arn:aws:kms:sa-east-1:564593125549:key/af04939f-4d0a-461b-ae2f-8a8e5cececc4,2025-11-30T06:44:29.115000+00:00,Created by CreateImage(i-0a1e3f5c5d55146d5) for ami-08e77273a5ab362c0,,root-extend
