profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-08-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-08-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-08T01:22:13.523000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-09-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-09-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-09T01:22:18.808000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-10-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-10-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-10T01:22:10.057000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-11-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-11-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-11T01:22:14.037000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-12-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-12-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-12T01:22:09.477000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-13-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-13-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-13T01:22:04.956000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-14-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-14-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-14T01:22:07.824000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-15-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-15-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-15T01:22:05.442000+00:00,,automated,
datahubdev,sa-east-1,rds-instance,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-16-01-21,eec-aws-br-eits-datahub-dev-infonext,rds:eec-aws-br-eits-datahub-dev-infonext-2025-12-16-01-21,available,sqlserver-se,20,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-16T01:22:11.889000+00:00,,automated,
datahubdev,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-dev-batimento-fraude-aurora-2025-12-15-11-06,eec-aws-br-eits-datahub-dev-batimento-fraude-aurora,rds:eec-aws-br-eits-datahub-dev-batimento-fraude-aurora-2025-12-15-11-06,available,aurora-mysql,,True,arn:aws:kms:sa-east-1:730335661246:key/aa4b1000-d7bf-414e-a296-a712b43b8ca2,2025-12-15T11:06:19.519000+00:00,,automated,
