profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-bin-aurora-2025-12-16-03-10,eec-aws-br-eits-datahub-prod-bin-aurora,rds:eec-aws-br-eits-datahub-prod-bin-aurora-2025-12-16-03-10,available,aurora-mysql,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-16T03:10:13.699000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-06-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-06-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-06T22:06:14.998000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-07-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-07-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-07T22:06:11.267000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-08-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-08-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-08T22:06:29.404000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-09-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-09-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-09T22:06:08.894000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-10-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-10-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-10T22:06:08.929000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-11-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-11-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-11T22:06:08.101000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-12-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-12-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-12T22:06:13.840000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-13-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-13-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-13T22:06:08.374000+00:00,,automated,
datahubprod,sa-east-1,rds-cluster,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-14-22-06,eec-aws-br-eits-datahub-prod-monitor-documentdb,rds:eec-aws-br-eits-datahub-prod-monitor-documentdb-2025-12-14-22-06,available,docdb,,True,arn:aws:kms:sa-east-1:415071355886:key/2fc81dca-f375-4deb-b018-ccb558810df0,2025-12-14T22:06:10.370000+00:00,,automated,
