profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
dataofficedev,sa-east-1,ebs,snap-0d7bcbe026566590c,vol-09af73cd50d2c3ae3,snap-0d7bcbe026566590c,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-12T03:01:06.723000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-0c7b37ced62526641,vol-09af73cd50d2c3ae3,snap-0c7b37ced62526641,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-11T03:01:06.615000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-084d328feada82e7c,vol-09af73cd50d2c3ae3,snap-084d328feada82e7c,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-10T03:01:05.248000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-021be1ab7f13d8596,vol-09af73cd50d2c3ae3,snap-021be1ab7f13d8596,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-09T03:01:05.465000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-0059a61e6976abe3b,vol-09af73cd50d2c3ae3,snap-0059a61e6976abe3b,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-08T03:01:02.954000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-0eb73905327b4c39b,vol-09af73cd50d2c3ae3,snap-0eb73905327b4c39b,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-07T03:01:00.269000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-00ee612e9af204a60,vol-09af73cd50d2c3ae3,snap-00ee612e9af204a60,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-06T03:00:59.154000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-071af068b1ed2eedc,vol-09af73cd50d2c3ae3,snap-071af068b1ed2eedc,completed,,2,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-05T03:01:00.055000+00:00,,,do-eks-01-dev-dynamic-pvc-b453ae46-c69b-4642-ab7d-17a0a00b67fb
dataofficedev,sa-east-1,ebs,snap-0c7eb2d3f31b77f31,vol-0e5f0ce9a6fccfb2b,snap-0c7eb2d3f31b77f31,completed,,1024,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-02-26T14:05:37.272000+00:00,Created by CreateImage(i-0a2c5deaa0e103e6b) for ami-0bbc091f7220e5c4b,,
dataofficedev,sa-east-1,ebs,snap-08b9475100c405508,vol-0e5f0ce9a6fccfb2b,snap-08b9475100c405508,completed,,1024,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2024-11-26T19:08:21.038000+00:00,Created by CreateImage(i-0a2c5deaa0e103e6b) for ami-04e20b72574e0fa0a,,
dataofficedev,sa-east-1,ebs,snap-0d64300d3a59dbf16,vol-0e5f0ce9a6fccfb2b,snap-0d64300d3a59dbf16,completed,,1024,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2024-09-24T14:34:31.612000+00:00,Created by CreateImage(i-0a2c5deaa0e103e6b) for ami-081c1501e118b2641,,Backup-ecc-aws-br-do-poc-aperture-dev-20240924
dataofficedev,sa-east-1,ebs,snap-019d001dcb13ab6a2,vol-056560e5588a7a65d,snap-019d001dcb13ab6a2,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-05T03:00:57.879000+00:00,,,do-eks-01-dev-dynamic-pvc-90988d82-45f9-471f-8009-13d0fc9f4ce5
dataofficedev,sa-east-1,ebs,snap-01a9a83c79a612774,vol-0c576b557bfdb3811,snap-01a9a83c79a612774,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-12T03:01:07.291000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
dataofficedev,sa-east-1,ebs,snap-0d0e3a5ffb0f90163,vol-0da3d7fadb48472ad,snap-0d0e3a5ffb0f90163,completed,,8,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-12T03:01:04.699000+00:00,,,do-eks-01-dev-dynamic-pvc-60432cbb-3957-4541-84a3-f93df2928307
dataofficedev,sa-east-1,ebs,snap-013c5cc9063002d17,vol-0ad218af1d481c121,snap-013c5cc9063002d17,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-12T03:01:03.778000+00:00,,,do-eks-01-dev-dynamic-pvc-ccc980aa-2558-4697-9b54-77b731eb481b
dataofficedev,sa-east-1,ebs,snap-03a333cf72c954db4,vol-0c576b557bfdb3811,snap-03a333cf72c954db4,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-11T03:01:07.178000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
dataofficedev,sa-east-1,ebs,snap-03d93eea13582dae3,vol-0ad218af1d481c121,snap-03d93eea13582dae3,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-11T03:01:03.638000+00:00,,,do-eks-01-dev-dynamic-pvc-ccc980aa-2558-4697-9b54-77b731eb481b
dataofficedev,sa-east-1,ebs,snap-0f82a00d75b79373f,vol-0da3d7fadb48472ad,snap-0f82a00d75b79373f,completed,,8,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-11T03:01:04.652000+00:00,,,do-eks-01-dev-dynamic-pvc-60432cbb-3957-4541-84a3-f93df2928307
dataofficedev,sa-east-1,ebs,snap-0ae5b48842ac43774,vol-0ad218af1d481c121,snap-0ae5b48842ac43774,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-10T03:01:01.851000+00:00,,,do-eks-01-dev-dynamic-pvc-ccc980aa-2558-4697-9b54-77b731eb481b
dataofficedev,sa-east-1,ebs,snap-0d2cd5f7364f29d88,vol-0da3d7fadb48472ad,snap-0d2cd5f7364f29d88,completed,,8,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-10T03:01:02.781000+00:00,,,do-eks-01-dev-dynamic-pvc-60432cbb-3957-4541-84a3-f93df2928307
dataofficedev,sa-east-1,ebs,snap-02e9a65bbbb379ab2,vol-0c576b557bfdb3811,snap-02e9a65bbbb379ab2,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-10T03:01:03.968000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
dataofficedev,sa-east-1,ebs,snap-01b48b3d5b2be9c9c,vol-0da3d7fadb48472ad,snap-01b48b3d5b2be9c9c,completed,,8,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-09T03:01:03.074000+00:00,,,do-eks-01-dev-dynamic-pvc-60432cbb-3957-4541-84a3-f93df2928307
dataofficedev,sa-east-1,ebs,snap-033af51b804c77558,vol-0ad218af1d481c121,snap-033af51b804c77558,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-09T03:01:02.043000+00:00,,,do-eks-01-dev-dynamic-pvc-ccc980aa-2558-4697-9b54-77b731eb481b
dataofficedev,sa-east-1,ebs,snap-0fc805c62530c8b75,vol-0c576b557bfdb3811,snap-0fc805c62530c8b75,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-09T03:01:04.209000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
dataofficedev,sa-east-1,ebs,snap-043e7548a74fa4485,vol-0da3d7fadb48472ad,snap-043e7548a74fa4485,completed,,8,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-08T03:01:00.178000+00:00,,,do-eks-01-dev-dynamic-pvc-60432cbb-3957-4541-84a3-f93df2928307
dataofficedev,sa-east-1,ebs,snap-026e1f0dcb84e22bd,vol-0ad218af1d481c121,snap-026e1f0dcb84e22bd,completed,,10,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-08T03:00:59.248000+00:00,,,do-eks-01-dev-dynamic-pvc-ccc980aa-2558-4697-9b54-77b731eb481b
dataofficedev,sa-east-1,ebs,snap-0fd45fa90aba240fd,vol-0c576b557bfdb3811,snap-0fd45fa90aba240fd,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-08T03:01:01.417000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
dataofficedev,sa-east-1,ebs,snap-0c0013cb67954279f,vol-0c576b557bfdb3811,snap-0c0013cb67954279f,completed,,100,True,arn:aws:kms:sa-east-1:916546429908:key/1b0e7147-6cf0-4f6e-8db3-85a20531e9e1,2025-06-07T03:00:58.931000+00:00,,,do-eks-01-dev-dynamic-pvc-8336bf9d-03b7-44cb-a213-112bda0f0112
