profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
eitsarchitecturesandbox,sa-east-1,ebs,snap-0b3a436d986740627,vol-0258d0e55d82717a0,snap-0b3a436d986740627,completed,,50,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2024-05-06T14:40:05.309000+00:00,BKP PoC Axway,,
eitsarchitecturesandbox,sa-east-1,ebs,snap-03b277a8477d32bb6,vol-098ca576b9e358b4c,snap-03b277a8477d32bb6,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-23T03:00:10.985000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-027e2ead3d0eb8b68,vol-098ca576b9e358b4c,snap-027e2ead3d0eb8b68,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-22T03:00:09.691000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-020328e08b8971130,vol-098ca576b9e358b4c,snap-020328e08b8971130,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-21T03:00:08.774000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-0313b4650441403f7,vol-098ca576b9e358b4c,snap-0313b4650441403f7,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-20T03:00:07.589000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-03ea32406cdb4a84c,vol-098ca576b9e358b4c,snap-03ea32406cdb4a84c,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-19T03:00:06.866000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-04cba372c85fad2ea,vol-098ca576b9e358b4c,snap-04cba372c85fad2ea,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-18T03:00:05.358000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-0be8801f498d5dffa,vol-098ca576b9e358b4c,snap-0be8801f498d5dffa,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-17T03:01:02.801000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-0457448b61d71e613,vol-098ca576b9e358b4c,snap-0457448b61d71e613,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-16T03:01:01.520000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-0d6f766292942ec2d,vol-098ca576b9e358b4c,snap-0d6f766292942ec2d,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-15T03:01:00.297000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-06554934eae467d9c,vol-098ca576b9e358b4c,snap-06554934eae467d9c,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-14T03:00:58.712000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-00cd8609fc3294a44,vol-098ca576b9e358b4c,snap-00cd8609fc3294a44,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-13T03:00:57.644000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-09505bd2c66b87ed1,vol-098ca576b9e358b4c,snap-09505bd2c66b87ed1,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-12T03:00:56.587000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-0da44b8ba752f3f62,vol-098ca576b9e358b4c,snap-0da44b8ba752f3f62,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-11T03:00:55.046000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-08eaee832b1fd5d2f,vol-098ca576b9e358b4c,snap-08eaee832b1fd5d2f,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-10T03:00:53.687000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,ebs,snap-07be2a4107ed6dac9,vol-098ca576b9e358b4c,snap-07be2a4107ed6dac9,completed,,4,True,arn:aws:kms:sa-east-1:380979651404:key/d2fb1686-b6f6-45f6-95ac-bb8abf007185,2025-10-09T03:00:52.711000+00:00,,,eits-mese-eks-01-sandbox-dynamic-pvc-d77b224a-706b-4c13-a02c-b20bbecf888b
eitsarchitecturesandbox,sa-east-1,rds-instance,eits-mediationservices-dev-snapshot,eits-mediationservices-dev,eits-mediationservices-dev-snapshot,available,postgres,80,True,arn:aws:kms:sa-east-1:380979651404:key/90898386-6d90-4ab1-8412-60e4d0a96531,2024-06-07T13:49:41.551000+00:00,,manual,
