profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
positivodev,us-east-1,rds-cluster,rds:eec-aws-eits-positivo-dev-documentdb-2025-12-16-00-11,eec-aws-eits-positivo-dev-documentdb,rds:eec-aws-eits-positivo-dev-documentdb-2025-12-16-00-11,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/8339d809-a5fb-4e54-85e1-02fcd017b27e,2025-12-16T00:12:05.447000+00:00,,automated,
positivodev,us-east-1,rds-cluster,rds:eec-aws-us-eits-positivo-api-dev-documentdb-2025-12-15-22-06,eec-aws-us-eits-positivo-api-dev-documentdb,rds:eec-aws-us-eits-positivo-api-dev-documentdb-2025-12-15-22-06,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/d0c85603-5a0f-4040-b6fc-da8820463616,2025-12-15T22:07:19.708000+00:00,,automated,
positivodev,us-east-1,rds-cluster,snap-documentdb-from-do-dev-sa-east-1,novo-cluster-migrar-positivo-us-dev,snap-documentdb-from-do-dev-sa-east-1,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/d0c85603-5a0f-4040-b6fc-da8820463616,2025-07-24T14:14:03.782000+00:00,,manual,
positivodev,us-east-1,docdb-cluster,rds:eec-aws-eits-positivo-dev-documentdb-2025-12-16-00-11,eec-aws-eits-positivo-dev-documentdb,rds:eec-aws-eits-positivo-dev-documentdb-2025-12-16-00-11,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/8339d809-a5fb-4e54-85e1-02fcd017b27e,2025-12-16T00:12:05.447000+00:00,,automated,
positivodev,us-east-1,docdb-cluster,rds:eec-aws-us-eits-positivo-api-dev-documentdb-2025-12-15-22-06,eec-aws-us-eits-positivo-api-dev-documentdb,rds:eec-aws-us-eits-positivo-api-dev-documentdb-2025-12-15-22-06,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/d0c85603-5a0f-4040-b6fc-da8820463616,2025-12-15T22:07:19.708000+00:00,,automated,
positivodev,us-east-1,docdb-cluster,snap-documentdb-from-do-dev-sa-east-1,novo-cluster-migrar-positivo-us-dev,snap-documentdb-from-do-dev-sa-east-1,available,docdb,,True,arn:aws:kms:us-east-1:109804294614:key/d0c85603-5a0f-4040-b6fc-da8820463616,2025-07-24T14:14:03.782000+00:00,,manual,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:de51fa40-267f-4d9a-8fd6-2fb8d505e980,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:f73bbb02-6c0d-436f-9266-94278506ff89,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:b319f23c-a50a-44e3-9210-2c76b0b78163,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.76,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:ec59dab9-3afc-4ca9-83de-6b84e03dc912,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.9,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:40af3936-7dbc-4af0-92b5-d11ece044bd7,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:6757c498-2d2a-4ee6-b9f7-d3adf3c77f76,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:20e45d47-5af6-4e80-9d43-82f46006d4aa,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:3097c4e3-7fd8-4419-9425-f284ed0c4ce4,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:3162c28e-a15c-41a4-8a1c-d3a40a8451be,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:57c612d7-dfa7-4609-9af8-c0f9434bd959,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:bbec683f-e51a-4119-84ea-d2fcb8272fe7,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.63,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:32be84de-9302-47df-bfdf-1b25f52706e7,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.89,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:141c5e90-7ead-4b37-bc9e-237f563a97f1,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.81,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:3d9d72a8-cd51-40fd-beb3-08015c2193d0,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.74,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:0cd5acc4-a30c-4d1f-8026-60dd4d9d79c2,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.74,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:3747e30c-1094-4087-ba43-56d0b5ae1f34,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:ff74a95c-8dec-4152-83fe-42f3831db091,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.63,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:3d8779e2-2458-40cc-af19-0fc30de1686b,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.9,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:10f463d4-48a6-40e3-ae0e-aa97782e5362,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.83,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:7dce2504-b57a-44d4-b5b3-3526b755d506,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.71,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:598b0568-c937-42ae-a0fc-f32762abe31b,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.77,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:32695469-5be5-401f-9c21-b09959394190,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.66,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:72ee0f8a-6fd9-4789-9348-245edf27cde2,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:7d7f7e40-1d84-441a-a0b3-c70eb1c51fc6,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.89,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:8ad2c32c-6370-4dff-b9ce-b5aa94325c0a,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.8,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:47f36f80-0efa-4bdc-8370-8d11ec16e8b2,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.74,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:ee8efab7-321d-4841-984f-632d16b7796f,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.87,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:d6742a47-c7cf-43bc-8608-668797c2d8b4,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.75,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:a75270eb-4a9a-4cd1-80b3-0bbcf2753120,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.57,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:4e2b1b7d-924b-42c6-9eba-8ec4ffe8c4c3,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:a846cf3c-119c-4fda-a2c6-0fe9bcce04cb,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.78,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:2f35815a-06ae-4abb-91d7-d83baf18b1f9,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.73,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:4c916fc5-a663-4f0d-bd63-42ea94d98f3a,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.87,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:ddff6ee5-bcb8-40ec-9bdc-4c6a086e4d34,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.81,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
positivodev,us-east-1,backup,arn:aws:backup:us-east-1:109804294614:recovery-point:5f55c493-f01e-451f-9588-7ff2676b0c30,arn:aws:elasticfilesystem:us-east-1:109804294614:file-system/fs-038a91af35e8d8a10,aws/efs/automatic-backup-vault,COMPLETED,EFS,0.76,,arn:aws:kms:us-east-1:109804294614:key/6eb12654-01d0-4ff2-af61-3b67dcae9562,,,,
