profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
positivoprod,sa-east-1,rds-instance,datahub-06-11,datahub,datahub-06-11,available,postgres,50,True,arn:aws:kms:sa-east-1:105794972139:key/22cc764c-689f-4f46-bd2f-54d7c3518850,2023-11-06T20:38:43.275000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,datahub-06-11-2,datahub,datahub-06-11-2,available,postgres,50,True,arn:aws:kms:sa-east-1:105794972139:key/22cc764c-689f-4f46-bd2f-54d7c3518850,2023-11-06T20:57:46.615000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,mesaoptin-rds-legado-prod-snapshot,mesaoptin-rds-legado-prod,mesaoptin-rds-legado-prod-snapshot,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2023-10-20T17:49:04.027000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,mesaoptin-rds-prod-11-12-2025,mesaoptin-rds-prod,mesaoptin-rds-prod-11-12-2025,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-12T01:10:51.981000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,mesaoptin-rds-prod-12122025,mesaoptin-rds-prod,mesaoptin-rds-prod-12122025,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-13T01:06:54.080000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,mesaoptin-rds-prod-12122025-copy,mesaoptin-rds-prod,mesaoptin-rds-prod-12122025-copy,available,mysql,20,True,arn:aws:kms:sa-east-1:105794972139:key/3ac8f23b-8aef-4414-8af8-89c3521b6503,2025-12-13T01:18:19.219000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,rds:mesa-migration-2025-12-15-06-17,mesa-migration,rds:mesa-migration-2025-12-15-06-17,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-15T06:17:34.600000+00:00,,automated,
positivoprod,sa-east-1,rds-instance,rds:mesa-migration-2025-12-16-06-17,mesa-migration,rds:mesa-migration-2025-12-16-06-17,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-16T06:17:37.088000+00:00,,automated,
positivoprod,sa-east-1,rds-instance,rds:mesaoptin-rds-prod-2025-12-15-06-19,mesaoptin-rds-prod,rds:mesaoptin-rds-prod-2025-12-15-06-19,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-15T06:19:29.289000+00:00,,automated,
positivoprod,sa-east-1,rds-instance,rds:mesaoptin-rds-prod-2025-12-16-06-19,mesaoptin-rds-prod,rds:mesaoptin-rds-prod-2025-12-16-06-19,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-16T06:19:36.741000+00:00,,automated,
positivoprod,sa-east-1,rds-instance,snapshot-before-migration-1855,mesaoptin-rds-prod,snapshot-before-migration-1855,available,mysql,20,True,arn:aws:kms:sa-east-1:715132482972:key/0ccbaa78-5558-4dd8-99d7-759458677a98,2025-12-08T21:56:15.424000+00:00,,manual,
positivoprod,sa-east-1,rds-instance,snapshotkms,mesaoptin-rds-legado-prod,snapshotkms,available,mysql,20,True,arn:aws:kms:sa-east-1:105794972139:key/3ac8f23b-8aef-4414-8af8-89c3521b6503,2025-12-12T21:01:12.284000+00:00,,manual,
positivoprod,sa-east-1,rds-cluster,dob-positivo,dob-positivo-prod,dob-positivo,available,docdb,,True,arn:aws:kms:sa-east-1:105794972139:key/22cc764c-689f-4f46-bd2f-54d7c3518850,2024-02-09T14:48:49.036000+00:00,,manual,
positivoprod,sa-east-1,docdb-cluster,dob-positivo,dob-positivo-prod,dob-positivo,available,docdb,,True,arn:aws:kms:sa-east-1:105794972139:key/22cc764c-689f-4f46-bd2f-54d7c3518850,2024-02-09T14:48:49.036000+00:00,,manual,
