profile,region,tipo,resource_id,parent_id,name,status,engine,size_gb,encrypted,kms_key_id,start_time,description,snapshot_type,tags_name
ssrmprod,sa-east-1,ebs,snap-084ef3b28bb042340,vol-0b621c3a8c424c902,snap-084ef3b28bb042340,completed,,60,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2024-11-22T20:30:43.522000+00:00,bkp_BRASA1SSRMPAUD1,,
ssrmprod,sa-east-1,ebs,snap-02cde47122a75742f,vol-0b621c3a8c424c902,snap-02cde47122a75742f,completed,,60,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2024-11-22T20:29:39.538000+00:00,Created by CreateImage(i-0c91d8a0adf25d417) for ami-0d365008d5bdda6d4,,
ssrmprod,sa-east-1,ebs,snap-0f4616aaf3b0c0dbd,vol-053632b5cf44e5574,snap-0f4616aaf3b0c0dbd,completed,,30,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2024-07-26T14:20:24.775000+00:00,Created by CreateImage(i-04e6158c7202e2e83) for ami-0ef02d07252648f0e,,
ssrmprod,sa-east-1,ebs,snap-004d5eb078e723369,vol-053632b5cf44e5574,snap-004d5eb078e723369,completed,,30,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2024-07-26T14:21:33+00:00,BRASA1SSRMPAUD1-bkp,,
ssrmprod,sa-east-1,ebs,snap-0d63b254b28fd96fa,vol-07320114cc33f75e6,snap-0d63b254b28fd96fa,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2023-02-02T22:58:27.430000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-09306aeb120237571,,
ssrmprod,sa-east-1,ebs,snap-0e5c0e8ef98b66e78,vol-07320114cc33f75e6,snap-0e5c0e8ef98b66e78,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-02T08:50:53.815000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-0b3c4742dadd94326,,mongodb-nike-sales-uat-a
ssrmprod,sa-east-1,ebs,snap-0f71aa849714205fb,vol-0384c1be2f35d5c7c,snap-0f71aa849714205fb,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-02T07:54:44.349000+00:00,Created by CreateImage(i-019c43be077fab936) for ami-0cc397cc27be95ca6,,mongodb-nike-sales-uat-b
ssrmprod,sa-east-1,ebs,snap-07dcd12cfad2cd24d,vol-030c7efa0cdc80de6,snap-07dcd12cfad2cd24d,completed,,100,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-02T07:42:11.261000+00:00,Created by CreateImage(i-0db217cc4192a62c0) for ami-0eab0791305a908d8,,mongodb-nike-sales-prd-b-log-bkp
ssrmprod,sa-east-1,ebs,snap-0e9c294d9212aa03e,vol-036876bf1f05ed98e,snap-0e9c294d9212aa03e,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-02T06:53:10.934000+00:00,Created by CreateImage(i-0cf94cdbe4816e4bb) for ami-0f22c0ca9350c64a4,,
ssrmprod,sa-east-1,ebs,snap-0f78bc202ac345683,vol-07320114cc33f75e6,snap-0f78bc202ac345683,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-01T08:53:41.208000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-03c080fb6f97f962d,,mongodb-nike-sales-uat-a
ssrmprod,sa-east-1,ebs,snap-00cc9c002623be0d8,vol-0384c1be2f35d5c7c,snap-00cc9c002623be0d8,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-01T08:12:53.432000+00:00,Created by CreateImage(i-019c43be077fab936) for ami-03d7d148052235595,,mongodb-nike-sales-uat-b
ssrmprod,sa-east-1,ebs,snap-0f5d9b316f9f1241e,vol-030c7efa0cdc80de6,snap-0f5d9b316f9f1241e,completed,,100,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-01T07:37:08.874000+00:00,Created by CreateImage(i-0db217cc4192a62c0) for ami-0974ea3c6de1ff321,,mongodb-nike-sales-prd-b-log-bkp
ssrmprod,sa-east-1,ebs,snap-04d50d94ef6991abd,vol-036876bf1f05ed98e,snap-04d50d94ef6991abd,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-09-01T06:52:27.512000+00:00,Created by CreateImage(i-0cf94cdbe4816e4bb) for ami-00df36cf1a6a61380,,
ssrmprod,sa-east-1,ebs,snap-0f591a0a472e55a5d,vol-07320114cc33f75e6,snap-0f591a0a472e55a5d,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-31T08:54:25.117000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-0951d1908ba5a4d68,,mongodb-nike-sales-uat-a
ssrmprod,sa-east-1,ebs,snap-0cf21187c3f077968,vol-0384c1be2f35d5c7c,snap-0cf21187c3f077968,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-31T08:06:43.187000+00:00,Created by CreateImage(i-019c43be077fab936) for ami-084cce0ac3b18f664,,mongodb-nike-sales-uat-b
ssrmprod,sa-east-1,ebs,snap-049c0a6601a43b785,vol-030c7efa0cdc80de6,snap-049c0a6601a43b785,completed,,100,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-31T07:41:10.869000+00:00,Created by CreateImage(i-0db217cc4192a62c0) for ami-07c3c3c0d691f7aea,,mongodb-nike-sales-prd-b-log-bkp
ssrmprod,sa-east-1,ebs,snap-06b4bb0a3e880fa7a,vol-036876bf1f05ed98e,snap-06b4bb0a3e880fa7a,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-31T06:52:17.753000+00:00,Created by CreateImage(i-0cf94cdbe4816e4bb) for ami-0c8a09b93b8d8ac10,,
ssrmprod,sa-east-1,ebs,snap-076ffd98f6fded56d,vol-07320114cc33f75e6,snap-076ffd98f6fded56d,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-30T09:07:17.621000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-018dc5a7b5baf3faa,,mongodb-nike-sales-uat-a
ssrmprod,sa-east-1,ebs,snap-0abbc4a613c5b55f7,vol-0384c1be2f35d5c7c,snap-0abbc4a613c5b55f7,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-30T08:09:45.859000+00:00,Created by CreateImage(i-019c43be077fab936) for ami-0ba42cffa5c164caa,,mongodb-nike-sales-uat-b
ssrmprod,sa-east-1,ebs,snap-030d3c5959b8fd036,vol-030c7efa0cdc80de6,snap-030d3c5959b8fd036,completed,,100,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-30T07:39:12.861000+00:00,Created by CreateImage(i-0db217cc4192a62c0) for ami-0660cebb88726c4e8,,mongodb-nike-sales-prd-b-log-bkp
ssrmprod,sa-east-1,ebs,snap-0b2cda5435e59b02c,vol-036876bf1f05ed98e,snap-0b2cda5435e59b02c,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-30T06:54:53.509000+00:00,Created by CreateImage(i-0cf94cdbe4816e4bb) for ami-0381e043ceb562956,,
ssrmprod,sa-east-1,ebs,snap-0430a5c7dcd82b9b7,vol-07320114cc33f75e6,snap-0430a5c7dcd82b9b7,completed,,10,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-29T08:53:42.281000+00:00,Created by CreateImage(i-09ee64877d87075cc) for ami-08a2aec4ad58c30c3,,mongodb-nike-sales-uat-a
ssrmprod,sa-east-1,ebs,snap-0dc868334ceae67f7,vol-0384c1be2f35d5c7c,snap-0dc868334ceae67f7,completed,,40,True,arn:aws:kms:sa-east-1:877001948254:key/5aff9933-4b81-42c7-b410-2161b12d63bc,2022-08-29T08:13:41.864000+00:00,Created by CreateImage(i-019c43be077fab936) for ami-078333e7cecea7357,,mongodb-nike-sales-uat-b
