SnapshotId;VolumeId;Name;Size;Owner;BU;
snap-0bc8eb40929a38549;vol-09fb80fe6db9a09e1;Created by CreateImage(i-0392d83c51933c553) for ami-03c468fc61cea9183;32;492208500822 ;digital;aws ec2 create-tags  --resources snap-0bc8eb40929a38549 --tags Key=bu,Value=digital --no-verify-ssl
snap-0f1fcf7cbd883cd4e;vol-07fe240eb66ed3496;Created by CreateImage(i-06c2871a8b3e5e941) for ami-0866d99d39b86fbd2;10;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0f1fcf7cbd883cd4e --tags Key=bu,Value=mpme --no-verify-ssl
snap-062aa5484e01ca3dd;vol-02b337f6ad445db16;Created by CreateImage(i-00f8081e313b834a9) for ami-0f56f80ea3980e11a;20;492208500822 ;mpme;aws ec2 create-tags  --resources snap-062aa5484e01ca3dd --tags Key=bu,Value=mpme --no-verify-ssl
snap-0a126368c3d821ece;vol-00bb52eefc289c518;Created by CreateImage(i-0869c312ed01a78b7) for ami-0fba45e35f5e04df8;40;492208500822 ;digital;aws ec2 create-tags  --resources snap-0a126368c3d821ece --tags Key=bu,Value=digital --no-verify-ssl
snap-0b7fb1c82927b2dd2;vol-0d4d543d270bdbe5c;Created by CreateImage(i-069ecdba98e154d05) for ami-05c63eacc87c9c1ff;50;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0b7fb1c82927b2dd2 --tags Key=bu,Value=mpme --no-verify-ssl
snap-04090cedb46a1fa21;vol-0f6ea6a3434111478;Created by CreateImage(i-05d163c7b7f9d5f28) for ami-0c8ecfd7f7da5cbc9;8;492208500822 ;mpme;aws ec2 create-tags  --resources snap-04090cedb46a1fa21 --tags Key=bu,Value=mpme --no-verify-ssl
snap-043d4460e63cd55ae;vol-0aa04f92aca31a689;Created by CreateImage(i-0233bb8d69e016385) for ami-02625016cd0308d64;20;492208500822 ;mpme;aws ec2 create-tags  --resources snap-043d4460e63cd55ae --tags Key=bu,Value=mpme --no-verify-ssl
snap-0423db82080c3145c;vol-0460be640acad2810;Created by CreateImage(i-0d99f06294df79c01) for ami-06e05b5ab8e595165;10;492208500822 ;digital;aws ec2 create-tags  --resources snap-0423db82080c3145c --tags Key=bu,Value=digital --no-verify-ssl
snap-0f763744c96c58235;vol-0faaa2ccc9563340c;Created by CreateImage(i-0434c498793d6c855) for ami-06a563284a0b29505;5;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0f763744c96c58235 --tags Key=bu,Value=mpme --no-verify-ssl
snap-023698c6398d57af1;vol-060a8603160a4b89e;Created by CreateImage(i-069ecdba98e154d05) for ami-05c63eacc87c9c1ff;5;492208500822 ;mpme;aws ec2 create-tags  --resources snap-023698c6398d57af1 --tags Key=bu,Value=mpme --no-verify-ssl
snap-08e1d3cfa6bdad117;vol-0a7eef99ed61ebaaf;Created by CreateImage(i-04950c6dc49201f94) for ami-045207f0895f28875;32;492208500822 ;digital;aws ec2 create-tags  --resources snap-08e1d3cfa6bdad117 --tags Key=bu,Value=digital --no-verify-ssl
snap-04267ee0c6a6ea209;vol-0b4900cb05bd9d3e2;Created by CreateImage(i-0c9c159fdfaedc089) for ami-099aab43b4790a997;10;492208500822 ;ecs;aws ec2 create-tags  --resources snap-04267ee0c6a6ea209 --tags Key=bu,Value=ecs --no-verify-ssl
snap-0ec65fa1d153b503c;vol-055669a8c10753ca2;Created by CreateImage(i-090b04524fccfe442) for ami-078dbebd07f486f95;30;492208500822 ;digital;aws ec2 create-tags  --resources snap-0ec65fa1d153b503c --tags Key=bu,Value=digital --no-verify-ssl
snap-0b23e439e4c3aa53d;vol-0f78ba2e9881d5ba1;Created by CreateImage(i-08af9e8fbd17618c3) for ami-016bef0663aca81aa;50;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0b23e439e4c3aa53d --tags Key=bu,Value=mpme --no-verify-ssl
snap-0a31c3c142a81f699;vol-00f7f231f2dc009b7;Created by CreateImage(i-0c9c159fdfaedc089) for ami-099aab43b4790a997;7500;492208500822 ;ecs;aws ec2 create-tags  --resources snap-0a31c3c142a81f699 --tags Key=bu,Value=ecs --no-verify-ssl
snap-0c6f7bb0a27921a7d;vol-0d41579a12f4d4833;Created by CreateImage(i-01f1bdd13b1de125e) for ami-06becdc1b728c25d2;50;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0c6f7bb0a27921a7d --tags Key=bu,Value=mpme --no-verify-ssl
snap-09fd8d66be9d1f164;vol-05a4ac892ac43e89b;Created by CreateImage(i-0910811d76707cb87) for ami-025a4b26137442eac;100;492208500822 ;digital;aws ec2 create-tags  --resources snap-09fd8d66be9d1f164 --tags Key=bu,Value=digital --no-verify-ssl
snap-092aace6a9878038d;vol-00c2b1746f798c2fe;Created by CreateImage(i-0f1bf94c73bbef5a2) for ami-043c40492cfef711d;1300;492208500822 ;digital;aws ec2 create-tags  --resources snap-092aace6a9878038d --tags Key=bu,Value=digital --no-verify-ssl
snap-071dc63d9bedbcfa1;vol-04bf4214464fa2c63;Created by CreateImage(i-0ccbbc0759f3f921f) for ami-09591859c0c5bdf2a;50;492208500822 ;digital;aws ec2 create-tags  --resources snap-071dc63d9bedbcfa1 --tags Key=bu,Value=digital --no-verify-ssl
snap-021cf7c48771ecae9;vol-08c507fffc01f6ce0;Created by CreateImage(i-01130826ffe0b632f) for ami-04db1d07bd86150d1;10;492208500822 ;digital;aws ec2 create-tags  --resources snap-021cf7c48771ecae9 --tags Key=bu,Value=digital --no-verify-ssl
snap-0f9ccd80887e03b56;vol-06cd216cc6b174dd2;Created by CreateImage(i-04b620db71f3cf789) for ami-0fd7d9e9961c1ebee;30;492208500822 ;ecs;aws ec2 create-tags  --resources snap-0f9ccd80887e03b56 --tags Key=bu,Value=ecs --no-verify-ssl
snap-070a1acfe43d76948;vol-00752a9707f48c701;Created by CreateImage(i-0f90f9973aa4c6a00) for ami-06b2e0d48a5e99f36;5;492208500822 ;mpme;aws ec2 create-tags  --resources snap-070a1acfe43d76948 --tags Key=bu,Value=mpme --no-verify-ssl
snap-0b7550a43e4ee6a58;vol-09811e64f692d9aaf;Created by CreateImage(i-02e83fe8dd306b3cb) for ami-0e65b21b7377a5163;40;492208500822 ;digital;aws ec2 create-tags  --resources snap-0b7550a43e4ee6a58 --tags Key=bu,Value=digital --no-verify-ssl
snap-0e32e6e08dcfa23f3;vol-0d9e2603a03d92d6b;Created by CreateImage(i-0346fe37510e4f365) for ami-086ade666cd9d7eaa;15;492208500822 ;mpme;aws ec2 create-tags  --resources snap-0e32e6e08dcfa23f3 --tags Key=bu,Value=mpme --no-verify-ssl
snap-0896a70cdfbee60ec;vol-08399cf56603543a5;Created by CreateImage(i-0b2458dc8d9d029e7) for ami-08a5b66a3832c52a2;95;492208500822 ;digital;aws ec2 create-tags  --resources snap-0896a70cdfbee60ec --tags Key=bu,Value=digital --no-verify-ssl
snap-0fccbf115ce82d194;vol-077e561e14c880eb7;Created by CreateImage(i-02569e3dc6cca35ad) for ami-0b484f10395b878e3;10;492208500822 ;digital;aws ec2 create-tags  --resources snap-0fccbf115ce82d194 --tags Key=bu,Value=digital --no-verify-ssl
snap-0de94438b60b98590;vol-0d795c2949b0ecf56;Created by CreateImage(i-06bb749f73b581e9f) for ami-0fd34643899cca16d;3;492208500822 ;digital;aws ec2 create-tags  --resources snap-0de94438b60b98590 --tags Key=bu,Value=digital --no-verify-ssl
snap-0b8831f82d3fbdfd8;vol-06691f571287ab98f;Created by CreateImage(i-0ed323388e714556d) for ami-0fd0a63f74734e7f2;100;492208500822 ;digital;aws ec2 create-tags  --resources snap-0b8831f82d3fbdfd8 --tags Key=bu,Value=digital --no-verify-ssl
snap-08385cf680cd683ea;vol-04ea8df60f6576d0e;Created by CreateImage(i-0a74a269107ede131) for ami-05866c13c45d3ca1c;10;492208500822 ;ecs;aws ec2 create-tags  --resources snap-08385cf680cd683ea --tags Key=bu,Value=ecs --no-verify-ssl
